repo,label,group,window,start_date,end_date,merged_prs,bugfix_prs,bugfix_pr_share,active_pr_contributors_human,active_pr_contributors_total,commits,active_commit_authors_human,active_commit_authors_total,pr_additions,pr_deletions,pr_changed_files,current_code_lines,current_code_nonblank_lines,current_tracked_text_lines,current_code_files,stars,forks,open_issues,default_branch,repo_url
OpenHands/OpenHands,OpenHands main,OpenHands,3mo,2026-04-08,2026-07-08,593,227,0.3828,46,49,578,45,48,168416,201604,4997,404261,350708,413156,2425,80035,10206,356,main,https://github.com/OpenHands/OpenHands
OpenHands/OpenHands,OpenHands main,OpenHands,6mo,2026-01-08,2026-07-08,1256,477,0.3798,79,82,1199,78,81,367283,327636,8984,404261,350708,413156,2425,80035,10206,356,main,https://github.com/OpenHands/OpenHands
OpenHands/OpenHands,OpenHands main,OpenHands,12mo,2025-07-08,2026-07-08,2600,866,0.3331,179,182,2341,177,180,756190,494094,18262,404261,350708,413156,2425,80035,10206,356,main,https://github.com/OpenHands/OpenHands
OpenHands/agent-canvas,Agent Canvas,OpenHands,3mo,2026-04-08,2026-07-08,719,270,0.3755,31,33,733,32,34,253617,191083,7737,246466,222918,249778,1738,154,72,288,main,https://github.com/OpenHands/agent-canvas
OpenHands/agent-canvas,Agent Canvas,OpenHands,6mo,2026-01-08,2026-07-08,719,270,0.3755,31,33,733,32,34,253617,191083,7737,246466,222918,249778,1738,154,72,288,main,https://github.com/OpenHands/agent-canvas
OpenHands/agent-canvas,Agent Canvas,OpenHands,12mo,2025-07-08,2026-07-08,719,270,0.3755,31,33,733,32,34,253617,191083,7737,246466,222918,249778,1738,154,72,288,main,https://github.com/OpenHands/agent-canvas
OpenHands/software-agent-sdk,Software Agent SDK,OpenHands,3mo,2026-04-08,2026-07-08,643,213,0.3313,47,49,632,48,50,153113,32574,3097,333281,274384,346051,1281,884,335,255,main,https://github.com/OpenHands/software-agent-sdk
OpenHands/software-agent-sdk,Software Agent SDK,OpenHands,6mo,2026-01-08,2026-07-08,1209,385,0.3184,67,69,1188,67,69,252810,50479,5072,333281,274384,346051,1281,884,335,255,main,https://github.com/OpenHands/software-agent-sdk
OpenHands/software-agent-sdk,Software Agent SDK,OpenHands,12mo,2025-07-08,2026-07-08,2036,573,0.2814,90,92,2026,91,95,461753,106872,11171,333281,274384,346051,1281,884,335,255,main,https://github.com/OpenHands/software-agent-sdk
OpenHands/OpenHands-CLI,OpenHands CLI,OpenHands,3mo,2026-04-08,2026-07-08,52,13,0.25,15,17,52,15,17,4862,1221,291,66765,56014,68503,402,213,106,37,main,https://github.com/OpenHands/OpenHands-CLI
OpenHands/OpenHands-CLI,OpenHands CLI,OpenHands,6mo,2026-01-08,2026-07-08,196,46,0.2347,25,27,195,25,27,50057,11553,1329,66765,56014,68503,402,213,106,37,main,https://github.com/OpenHands/OpenHands-CLI
OpenHands/OpenHands-CLI,OpenHands CLI,OpenHands,12mo,2025-07-08,2026-07-08,324,69,0.213,31,33,353,32,34,99442,25127,2180,66765,56014,68503,402,213,106,37,main,https://github.com/OpenHands/OpenHands-CLI
openai/codex,OpenAI Codex,Comparison,3mo,2026-04-08,2026-07-08,2949,283,0.096,163,164,2880,162,163,1000804,400386,30683,1324542,1219349,1358160,4696,96314,14289,8485,main,https://github.com/openai/codex
openai/codex,OpenAI Codex,Comparison,6mo,2026-01-08,2026-07-08,5441,736,0.1353,243,245,5354,243,245,2093841,1013598,56247,1324542,1219349,1358160,4696,96314,14289,8485,main,https://github.com/openai/codex
openai/codex,OpenAI Codex,Comparison,12mo,2025-07-08,2026-07-08,7688,1202,0.1563,398,400,7579,396,398,2582509,1226299,70236,1324542,1219349,1358160,4696,96314,14289,8485,main,https://github.com/openai/codex
anomalyco/opencode,OpenCode,Comparison,3mo,2026-04-08,2026-07-08,2648,999,0.3773,158,158,3920,159,161,1048468,740265,24217,1047601,989604,1284379,5022,183758,22832,4689,dev,https://github.com/anomalyco/opencode
anomalyco/opencode,OpenCode,Comparison,6mo,2026-01-08,2026-07-08,4340,1775,0.409,495,495,7976,493,495,1627386,980989,33992,1047601,989604,1284379,5022,183758,22832,4689,dev,https://github.com/anomalyco/opencode
anomalyco/opencode,OpenCode,Comparison,12mo,2025-07-08,2026-07-08,5700,2304,0.4042,892,892,13631,890,893,1820270,1039068,40885,1047601,989604,1284379,5022,183758,22832,4689,dev,https://github.com/anomalyco/opencode
NousResearch/hermes-agent,Hermes,Comparison,3mo,2026-04-08,2026-07-08,6309,4381,0.6944,221,222,11470,1595,1603,2129953,406723,35356,1746187,1485429,2190088,4659,211569,38895,26951,main,https://github.com/NousResearch/hermes-agent
NousResearch/hermes-agent,Hermes,Comparison,6mo,2026-01-08,2026-07-08,7729,5286,0.6839,314,315,14876,1759,1767,2535314,455725,41343,1746187,1485429,2190088,4659,211569,38895,26951,main,https://github.com/NousResearch/hermes-agent
NousResearch/hermes-agent,Hermes,Comparison,12mo,2025-07-08,2026-07-08,7736,5288,0.6836,314,315,14936,1760,1768,2537400,455992,41376,1746187,1485429,2190088,4659,211569,38895,26951,main,https://github.com/NousResearch/hermes-agent
